grid_id,link
grid.1001.0,http://www.anu.edu.au/
grid.1002.3,http://www.monash.edu/
grid.1003.2,http://www.uq.edu.au/
grid.1004.5,http://mq.edu.au/
grid.1005.4,https://www.unsw.edu.au/
grid.1006.7,http://www.ncl.ac.uk/
grid.1007.6,https://www.uow.edu.au/index.html
grid.1008.9,http://www.unimelb.edu.au/
grid.1009.8,http://www.utas.edu.au/
grid.1010.0,http://www.adelaide.edu.au/
grid.1011.1,http://www.jcu.edu.au/
grid.1012.2,http://www.uwa.edu.au/
grid.1013.3,http://sydney.edu.au/
grid.1014.4,http://www.flinders.edu.au/
grid.1016.6,http://www.csiro.au/
grid.1017.7,https://www.rmit.edu.au/
grid.1018.8,http://www.latrobe.edu.au/
grid.1019.9,http://www.vu.edu.au/
grid.1020.3,http://www.une.edu.au/
grid.1021.2,http://www.deakin.edu.au/
grid.1022.1,http://www.griffith.edu.au/
grid.1023.0,https://www.cqu.edu.au/
grid.1024.7,https://www.qut.edu.au/
grid.1025.6,http://www.murdoch.edu.au/
grid.1026.5,https://www.unisa.edu.au/
grid.1027.4,http://www.swinburne.edu.au/
grid.1029.a,http://www.uws.edu.au/
grid.1031.3,http://scu.edu.au/
grid.1032.0,http://www.curtin.edu.au/
grid.1033.1,http://bond.edu.au/
grid.1034.6,http://www.usc.edu.au/
grid.1035.7,http://www.pw.edu.pl/engpw
grid.1037.5,http://www.csu.edu.au/
grid.1038.a,http://www.ecu.edu.au/
grid.1039.b,http://www.canberra.edu.au/
grid.1040.5,https://federation.edu.au/
grid.1042.7,http://www.wehi.edu.au/
grid.1043.6,http://www.cdu.edu.au/
grid.1046.3,http://www.aims.gov.au/
grid.1047.2,http://www.antarctica.gov.au/
grid.1048.d,http://www.usq.edu.au/
grid.1049.c,http://www.qimrberghofer.edu.au/
grid.1051.5,https://www.bakeridi.edu.au
grid.1052.6,http://www.ludwigcancerresearch.org/
grid.1055.1,http://www.petermac.org/
grid.1056.2,http://www.burnet.edu.au/
grid.1057.3,http://www.victorchang.edu.au/
grid.1058.c,https://www.mcri.edu.au/
grid.1064.3,http://research.mater.org.au/
grid.1073.5,https://www.svi.edu.au/
grid.1076.0,http://www.hri.org.au/
grid.1089.0,http://www.ansto.gov.au/
grid.1108.8,http://www.nps.edu/
grid.1121.3,http://www.rolls-royce.com/careers/working-for-us/our-locations/united-kingdom.aspx
grid.1214.6,http://www.si.edu/
grid.1236.6,http://www.bp.com/
grid.1281.a,http://www.riotinto.com/
grid.1343.5,http://www.baesystems.com/
grid.1374.1,http://www.utu.fi/en/Pages/home.aspx
grid.1403.6,http://www.arup.com/Global_locations/USA.aspx
grid.1453.3,http://www.btplc.com/
grid.1463.0,http://www.drdc-rddc.gc.ca/en/index.page
grid.1491.d,http://www.mater.org.au/
grid.1504.0,https://www.pilkington.com/en-GB/uk
grid.1543.3,http://www.trojantechnologies.com/
grid.1623.6,http://www.alfredhealth.org.au/about_the_alfred/
grid.1649.a,https://www2.sahlgrenska.se/en/SU/In-English/
grid.1658.a,http://www.doh.wa.gov/
grid.1680.f,http://www.dpi.nsw.gov.au/
grid.1694.a,http://www.wch.sa.gov.au/
grid.1743.1,https://www.mottmac.com/united-kingdom
grid.1957.a,http://www.rwth-aachen.de/cms/~a/root/lidx/1/
grid.2134.4,http://www.nortel-canada.com/
grid.2294.d,http://www.luther.edu/
grid.2515.3,http://www.childrenshospital.org/
grid.2678.b,https://www.gov.uk/government/organisations/environment-agency
grid.2824.c,http://www.pathwest.com.au/
grid.2865.9,http://www.usgs.gov/
grid.3263.4,http://www.cancervic.org.au/
grid.3319.8,https://www.basf.com/en.html
grid.3393.a,http://www.hypres.com/
grid.3474.4,http://www.jcvi.org/cms/home/
grid.3521.5,http://www.scgh.health.wa.gov.au/
grid.3532.7,http://www.noaa.gov/
grid.3575.4,http://www.who.int/countries/che/en/
grid.3613.7,http://www.boystown.org/
grid.4241.3,http://www.ntua.gr/index_en.html
grid.4269.9,http://www.ukcoal.com/
