grid_id,alias
grid.1005.4,University of New South Wales
grid.1006.7,University of Newcastle upon Tyne
grid.1007.6,Wollongong University
grid.1008.9,Melbourne University
grid.1010.0,Adelaide Uni
grid.1013.3,Sydney University
grid.1014.4, Flinders University of South Australia
grid.1017.7,RMIT University
grid.1023.0,CQUniversity
grid.1026.5,UniSA
grid.1027.4,Swinburne
grid.1032.0,Curtin University of Technology
grid.1035.7,Politechnika Warszawska
grid.1049.c,Queensland Institute of Medical Research
grid.1055.1,Peter MacCallum Cancer Institute
grid.1236.6,British Petroleum
grid.1374.1,Åbo universitet
grid.1374.1,Turun yliopisto
grid.1403.6,Arup Group Limited
grid.1453.3,British Telecommunications
grid.1623.6,The Alfred
grid.1649.a,Sahlgrenska Universitetssjukhuset
grid.1957.a,RWTH Aachen University
grid.2134.4,Nortel
grid.2134.4,Northern Telecom Limited
grid.2865.9,Geological Survey
grid.3319.8,Baden Aniline and Soda Factory
grid.3319.8,Badische Anilin- und Soda-Fabrik
grid.3613.7,Girls and Boys Tow
grid.3613.7,Father Flanagan's Boys' Home
grid.4241.3,Athens Polytechnic
grid.4241.3,National Metsovian Polytechnic
grid.4269.9,UK Coal Production Ltd
grid.4280.e,Universiti Kebangsaan Singapura
grid.4319.f,Stiftelsen for Industriell og Teknisk Forskning
grid.4332.6,Austrian Research Centers
grid.4422.0,Zhōngguó Hǎiyáng Dàxué
grid.4462.4,L-Università ta' Malta
grid.4464.2,London University
grid.4488.0,TU Dresden
grid.4491.8,Univerzita Karlova v Praze
grid.4494.d,Groningen University Hospital
grid.4495.c,Uniwersytet Medyczny im Piastów Śląskich we Wrocławiu
grid.4495.c,Universitas Medicus Vratislaviensis
grid.4495.c,Uniwersytet Medyczny we Wrocławiu
grid.4551.5,Universitatea Politehnica din București
grid.4567.0,German Research Center for Environmental Health
grid.4578.e,Transportøkonomisk institutt
grid.4612.1,Instytut został utworzony w Warszawie
grid.4616.5,Instytut Podstawowych Problemów Techniki
grid.4708.b,Statale
grid.4714.6,Royal Caroline Institute
grid.4714.6,Karolinska Institutet
grid.4793.9,Aristotelian University
grid.4800.c,Politecnico di Torino
grid.4808.4,Sveučilište u Zagrebu
grid.4818.5,Wageningen Universiteit en Researchcentrum
grid.4818.5,Wageningen University and Research Centre
grid.4827.9,Prifysgol Abertawe
grid.4830.f,Academia Groningana
grid.4836.9,Magyar Tudományos Akadémia Számítástechnikai és Automatizálási Kutatóintézet
grid.4839.6,PUC-Rio
grid.4842.a,Univerzita Hradec Králové
grid.4862.8,Prifysgol Glyndŵr
grid.4886.2,Rossíiskaya akadémiya naúk
grid.4905.8,Institut Ruđer Bošković
grid.4912.e,Coláiste Ríoga na Máinleá in Éirinn
grid.4970.a,Royal Holloway and Bedford New College
grid.4973.9,Rigshospitalet
grid.4991.5,Oxford University
grid.4994.0,Vysoké Učení Technické v Brně
grid.5018.c,Magyar Tudományos Akadémia
grid.5037.1,Kungliga Tekniska högskolan
grid.5098.4,Karl Marx Higher Institute of Economics
grid.5100.4,Universitatea din București
grid.5110.5,Carolo Franciscea Graecensis
grid.5117.2,Aalborg Universitet
grid.5132.5,Rijksuniversiteit Leiden
grid.5146.6,Közép-Európai Egyetem
grid.5164.6,TU Clausthal
grid.5169.b,DNV GL
grid.5170.3,Danmarks Tekniske Universitet
grid.5216.0,University of Athens
grid.5252.0,University of Munich
grid.5254.6,Københavns Universitet
grid.5259.b,Mykolo Romerio universitetas
grid.5268.9,Universitat d'Alacant
grid.5284.b,UAntwerp
grid.5288.7,Oregon Health Sciences University
grid.5288.7,University of Oregon Health Sciences Center
grid.5290.e,Waseda Daigaku
grid.5292.c,TU Delft
grid.5319.e,Universitat de Girona
grid.5328.c,Institut de recherche en informatique et en automatique
grid.5329.d,TU Wien
grid.5330.5,Friedrich-Alexander-University Erlangen-Nürnberg
grid.5335.0,Cambridge University
grid.5338.d,Universitat de València
grid.5342.0,UGent
grid.5371.0,Chalmers
grid.5371.0,Chalmers Tekniska Högskola
grid.5373.2,Aalto-Yliopisto
grid.5373.2,Aalto-Universitetet
grid.5374.5,Uniwersytet Mikołaja Kopernika w Toruniu
grid.5379.8,Victoria University of Manchester
grid.5379.8,University of Manchester Institute of Science and Technology
grid.5379.8,Manchester University
grid.5388.6,Chambéry University
grid.5388.6,University of Savoy Mont Blanc
grid.5465.2,Wythenshawe Hospital
grid.5477.1,Rijksuniversiteit Utrecht
grid.5509.9,Universitatis Tamperensis
grid.5509.9,Tampereen yliopisto
grid.5510.1,Universitetet i Oslo
grid.5510.1,Royal Frederick University
grid.5522.0, University of Kraków
grid.5522.0,Uniwersytet Jagielloński
grid.5560.6,University of Oldenburg
grid.5590.9,Katholieke Universiteit Nijmegen
grid.5596.f,KU Leuven
grid.5596.f,Catholic University of Leuven
grid.5607.4,ENS Paris
grid.5607.4,Normale sup
grid.5608.b,Università di Padova
grid.5612.0,Universitat Pompeu Fabra
grid.5633.3,Uniwersytet im. Adama Mickiewicza w Poznaniu
grid.5640.7,Linköpings universitet
grid.5645.2,Erasmus MC
grid.5676.2,Grenoble INP
grid.5690.a,Polytechnic University of Madrid
grid.5801.c,ETH Zurich
grid.5805.8,University of Paris VI
grid.5809.4,IVL Svenska Miljöinstitutet
grid.5841.8,Universitat de Barcelona
grid.5842.b,University of Paris XI
grid.5842.b,Université Paris-Sud
grid.5853.b,Institut de Ciències Fotòniques
grid.5924.a,Universidad de Navarra
grid.5942.a,Elettra 
grid.5947.f,Norges Teknisk-Naturvitenskapelige Universitet
grid.5963.9,Albert Ludwig University of Freiburg
grid.6057.4,Sveriges Meteorologiska och Hydrologiska Institut
grid.6083.d,Demokritos
grid.6094.b,Statens Provningsanstalt
grid.6094.b,SP Sveriges Tekniska Forskningsinstitut
grid.6142.1,"Queen’s College, Galway"
grid.6142.1,"University College, Galway"
grid.6142.1,"Ollscoil na hÉireann, Gaillimh"
grid.6162.3,Universitat Ramon Llull
grid.6190.e,Universitatis Coloniensis
grid.6282.e,Centrum Dopravního Výzkumu
grid.6303.6,STFI-Packforsk
grid.6312.6,Universidade de Vigo
grid.6324.3,Valtion Teknillinen Tutkimuskeskus
grid.6341.0,Sveriges Lantbruksuniversitet
grid.6357.7,Suranari University of Technology
grid.6390.c,Normale Sup' Cachan
grid.6390.c,ENS Cachan
grid.6401.3,Stazione Zoologica
grid.6407.5,Norsk Institutt for Vannforskning
grid.6408.a,Foras na Mara
grid.6441.7,Vilniaus universitetas
grid.6530.0,University of Rome II
grid.6546.1,Darmstadt University of Technology
grid.6546.1,TU Darmstadt
grid.6569.c,Volkswagen Aktiengesellschaft
grid.6572.6,Birmingham University
grid.6575.1,Centre for Research and Development in Transport and Energy 
grid.6652.7,České vysoké učení technické v Praze
grid.6722.1,Road Research Laboratory
grid.6734.6,TU Berlin
grid.6734.6,Berlin Institute of Technology
grid.6738.a,University of Brunswick – Institute of Technology
grid.6759.d,Budapesti Műszaki és Gazdaságtudományi Egyetem
grid.6810.f,Technische Universität Chemnitz
grid.6827.b,Universitatea Tehnică din Cluj-Napoca
grid.6835.8,BarcelonaTECH
grid.6852.9,Technische Hogeschool Eindhoven
grid.6862.a,University of Technology
grid.6862.a,Freiberg Mining Academy
grid.6868.0,Politechnika Gdańska
grid.6899.e,"Universitatea Tehnică ""Gheorghe Asachi"""
grid.6901.e,Kauno technologijos universitetas
grid.6903.c,Technická univerzita v Košiciach
grid.6926.b,Luleå tekniska universitet
grid.6933.f,Institut technologique FCBA
grid.6935.9,Orta Doğu Teknik Üniversitesi
grid.6963.a,Politechnika Poznańska
grid.6973.b,Rīgas Tehniskā universitāte
grid.6975.d,Työterveyslaitos
grid.6977.f,University of Ruse
grid.6979.1,Politechnika Śląska
grid.6986.1,Tampereen teknillinen yliopisto
grid.6988.f,Tallinna Tehnikaülikool
grid.6992.4,Universitatea Politehnica Timișoara
grid.7005.2,Technische Hochschule Breslau
grid.7005.2,Politechnika Wrocławska
grid.7039.d, Paris Lodron University 
grid.7048.b,Aarhus Universitet
grid.7080.f,Universitat Autònoma de Barcelona
grid.7112.5,Mendelova univerzita v Brně
grid.7122.6,Debreceni Egyetem
grid.7123.7,Haile Selassie I University 
grid.7123.7,University College of Addis Ababa
grid.7130.5,Mahawitthayalai Songkhla Nakharin
grid.7143.1,Odense Universitets Hospital
grid.7149.b,Univerzitet u Beogradu
grid.7240.1,Università Ca' Foscari
grid.7247.6,Uniandes
grid.7247.6,University of los Andes
grid.7256.6,Ankara Üniversitesi
grid.7280.d,TuTech
grid.7310.5,University of Avignon and the Vaucluse
grid.7324.2,MTU München
grid.7336.1,University of Veszprém
grid.7362.0,"University of Wales, Bangor"
grid.7362.0,University College of North Wales
grid.7372.1,Warwick University
grid.7399.4,Babeș-Bolyai Tudományegyetem
grid.7399.4,Universitatea Babeș-Bolyai
grid.7439.9,European Economic Interest Grouping
grid.7452.4,Université Paris Diderot - Paris 7
grid.7489.2,Universitat Ben Gurion Banegev
grid.7520.0,Alpen-Adria-Universität Klagenfurt
grid.7545.3,QinetiQ
grid.7597.c,Institute of Physical and Chemical Research
grid.7634.6,Univerzita Komenského
grid.7644.1,University of Bari
grid.7678.e,The Italian Foundation for Cancer Research
grid.7692.a,UMC Utrecht
grid.7722.0,IRB Barcelona
grid.7737.4,Helsingfors universitet
grid.7737.4,Helsingin yliopisto
grid.7776.1,King Fuad I University
grid.7836.a,South African College
grid.7839.5,Johann Wolfgang Goethe-Universität Frankfurt am Main
grid.7841.a,"Università degli studi di Roma ""La Sapienza"""
grid.7849.2,Université Lyon 1
grid.7872.a,Coláiste na hOllscoile Corcaigh
grid.7886.1,"University College Dublin – National University of Ireland, Dublin"
grid.7902.c,Paris X Nanterre
grid.7903.d,Clermont-Ferrand I
grid.7903.d,Universite d'Auvergne Clermont-Ferrand I
grid.7914.b,Universitetet i Bergen
grid.7960.8,Žilinská Univerzita v Žiline
grid.8065.b,Colombo University
grid.8148.5,Linnéuniversitetet
grid.8155.9,Prifysgol Cymru
grid.8168.7,"Universitatea ""Alexandru Ioan Cuza"""
grid.8170.e,Universidad Católica de Valparaíso
grid.8186.7, University College Wales
grid.8191.1,University of Dakar
grid.8192.2,Syrian University
grid.8195.5,Delhi University
grid.8198.8,Dhaka University
grid.8207.d,Tallinna Ülikool
grid.8217.c,Coláiste na Tríonóide
grid.8217.c,College of the Holy and Undivided Trinity of Queen Elizabeth near Dublin
grid.8302.9,Ege Üniversitesi
grid.8379.5,Julius Maximilians University of Würzburg
grid.8395.7,Ceará Federal University
grid.8399.b,Universidade Federal da Bahia
grid.8440.8,Fraunhofer IWES
grid.8505.8,Uniwersytet Wrocławski
grid.8570.a,Universitas Gadjah Mada
grid.8578.2,Universitatea Dunărea de Jos din Galați
grid.8585.0,Uniwersytet Gdański
grid.8591.5,Schola Genevensis
grid.8647.d,Univerza v Mariboru
grid.8657.c,Meteorologiska Institutet
grid.8657.c,Ilmatieteen laitos
grid.8658.3,Central Military Commission Meteorological Bureau
grid.8664.c,Justus Liebig University Giessen
